Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:295, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8551b5a8, ext:1390082904, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-216'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:296, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85521368, ext:1390106989, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-217'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:297, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a855226f0, ext:1390111891, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-218'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:298, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85523690, ext:1390115456, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-219'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:299, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85524248, ext:1390118981, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-220'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:300, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a855251e8, ext:1390122725, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-221'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:301, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85527510, ext:1390131488, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-222'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:302, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a855280c8, ext:1390134746, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-223'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:303, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85529068, ext:1390138097, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-224'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:309, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8556e9b0, ext:1390423462, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-225'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:310, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85572060, ext:1390438007, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-226'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:311, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a855733e8, ext:1390442480, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-227'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:312, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85574388, ext:1390446187, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-228'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:313, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85574f40, ext:1390449504, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-229'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:314, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85575af8, ext:1390453093, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-230'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:315, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85576a98, ext:1390456572, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-231'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:316, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85577a38, ext:1390460233, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-232'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:319, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a855785f0, ext:1390463819, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-233'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:320, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85579590, ext:1390467705, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-234'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:321, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8557d410, ext:1390483340, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-235'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:322, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8575a8c8, ext:1392438338, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-236'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:323, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8575feb8, ext:1392460708, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-237'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:324, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a857625c8, ext:1392470983, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-238'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:325, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85764120, ext:1392477673, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-239'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:328, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85a11210, ext:1395283905, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-240'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:332, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85a16800, ext:1395305964, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-241'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:333, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85a17b88, ext:1395310101, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-242'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:334, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85a18b28, ext:1395314074, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-243'
